Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.08G036900,Gm08,2928101-2932226,transcription factor bHLH68 isoform 1 [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.08G037000,Gm08,2941983-2949515,putative E3 ubiquitin-protein ligase LIN-like [Glycine max],IPR013083;IPR015943;IPR016024,GO:0000151;GO:0004842;GO:0005488;GO:0005515;GO:0016567
Glyma.08G037200,Gm08,2953730-2956670,peptide transporter 1,IPR000109;IPR016196,GO:0005215;GO:0006810;GO:0016020
Glyma.08G037300,Gm08,2956902-2961498,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G037400,Gm08,2962902-2969084,Tesmin/TSO1-like CXC domain-containing protein;,IPR005172,NA
Glyma.08G037500,Gm08,2970926-2972561,uncharacterized protein LOC100807973 [Glycine max],NA,NA
Glyma.08G037600,Gm08,2974148-2978717,putative pentatricopeptide repeat-containing protein At2g02150-like isoform X7 [Glycine max];,IPR002885,NA
Glyma.08G037700,Gm08,2979641-2983060,protein ABIL1-like [Glycine max],NA,NA
Glyma.08G037800,Gm08,2985082-2989599,uncharacterized protein LOC102667535 isoform X1 [Glycine max],NA,NA
Glyma.08G037900,Gm08,2990242-2991511,Dynein light chain type 1 family protein,IPR001372,GO:0005875;GO:0007017
Glyma.08G038100,Gm08,3000751-3003759,plastidic type i signal peptidase 1,IPR000223;IPR015927;IPR028360,GO:0006508;GO:0008236;GO:0016020;GO:0016021
Glyma.08G038200,Gm08,3004475-3008541,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.08G038400,Gm08,3024157-3025369,ovate family protein 8;,IPR006458,NA
Glyma.08G038500,Gm08,3030711-3031791,uncharacterized protein LOC100811016 [Glycine max],NA,NA
Glyma.08G038600,Gm08,3041180-3044314,Flavin-binding monooxygenase family protein,IPR013027;IPR020946,GO:0016491;GO:0050660;GO:0050661;GO:0055114
Glyma.08G038700,Gm08,3051737-3054595,uncharacterized protein LOC100812444 isoform X1 [Glycine max],NA,NA
Glyma.08G038800,Gm08,3054620-3057763,uncharacterized protein LOC100812982 [Glycine max],NA,NA
Glyma.08G038851,Gm08,3058074-3059059,RAB GTPase homolog 8,IPR001806;IPR027417,GO:0005525;GO:0007264;GO:0015031
Glyma.08G038902,Gm08,3059060-3060866,GTP-binding nuclear protein Ran-3-like [Glycine max],IPR001806;IPR005225;IPR027417,GO:0005525;GO:0006184;GO:0007165;GO:0007264;GO:0015031;GO:0016020
Glyma.08G039000,Gm08,3065064-3065540,uncharacterized protein LOC100798389 [Glycine max],NA,NA
Glyma.08G039100,Gm08,3069246-3072649,FRIGIDA-like protein 4a-like [Glycine max];,IPR012474,NA
Glyma.08G039200,Gm08,3079081-3084326,aldehyde dehydrogenase family 2 member C4-like [Glycine max]; ,IPR016161,GO:0008152;GO:0016491;GO:0055114
Glyma.08G039300,Gm08,3085771-3090754,aldehyde dehydrogenase family 2 member C4-like [Glycine max]; ,IPR016161,GO:0008152;GO:0016491;GO:0055114
Glyma.08G039400,Gm08,3097021-3101057,Leucine-rich repeat receptor-like protein kinase family protein;,IPR013210,NA
Glyma.08G039500,Gm08,3114351-3118939,probable serine incorporator isoform X4 [Glycine max];,IPR005016,GO:0016020
Glyma.08G039600,Gm08,3119453-3128784,probable ADP-ribosylation factor GTPase-activating protein AGD14-like [Glycine max]; ,IPR001164,GO:0008060;GO:0008270;GO:0032312
Glyma.08G039700,Gm08,3141309-3143520,Heavy metal transport/detoxification superfamily protein,IPR006121,GO:0030001;GO:0046872
Glyma.08G039800,Gm08,3150839-3161860,VIN3-like protein 1-like isoform X5 [Glycine max];,IPR013783,GO:0005515
Glyma.08G039900,Gm08,3162775-3164898,"sigma factor sigb regulation protein rsbq protein, putative",NA,NA
Glyma.08G040000,Gm08,3165644-3171362,3-hydroxyisobutyryl-CoA hydrolase-like protein,IPR001753,GO:0003824;GO:0008152
Glyma.08G040100,Gm08,3171826-3176620,lipase 1;,IPR006693,GO:0006629
Glyma.08G040202,Gm08,3176621-3181641,carbon catabolite repressor-like protein;,IPR005135,NA
Glyma.08G040300,Gm08,3183121-3189761,actin-related protein 4;,IPR004000,NA
Glyma.08G040400,Gm08,3190650-3193910,Peptidyl-tRNA hydrolase family protein;,IPR001328,GO:0004045
Glyma.08G040500,Gm08,3195024-3212073,WD repeat-containing protein 61-like isoform 1 [Glycine max],IPR001194;IPR005112;IPR005113;IPR015943;IPR020472,GO:0005515
Glyma.08G040700,Gm08,3215268-3221236,aluminum-activated malate transporter 9;,IPR020966,GO:0015743
Glyma.08G040800,Gm08,3224649-3227553,uncharacterized protein LOC100785888 [Glycine max],NA,NA
Glyma.08G040900,Gm08,3250231-3254874,ethylene-responsive transcription factor 1-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.08G041000,Gm08,3260985-3266064,lysm domain GPI-anchored protein 1 precursor;,IPR018392,GO:0016998
Glyma.08G041100,Gm08,3266139-3269747,zinc finger protein CONSTANS-LIKE 16-like [Glycine max],IPR000315;IPR010402,GO:0005515;GO:0005622;GO:0008270
Glyma.08G041300,Gm08,3283775-3286091,uncharacterized protein LOC100776729 isoform X2 [Glycine max],NA,NA
Glyma.08G041400,Gm08,3293276-3297013,uncharacterized protein LOC100804417 isoform X6 [Glycine max],IPR008195;IPR012870,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.08G041500,Gm08,3302582-3306089,"NAC domain protein,;",IPR003441,GO:0003677
Glyma.08G041600,Gm08,3308756-3312235,proline-rich protein precursor [Glycine max],IPR025742;IPR026896,NA
Glyma.08G041700,Gm08,3314816-3321019,"chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic-like isoform X1 [Glycine max];",IPR001890,GO:0003723
Glyma.08G041800,Gm08,3322747-3330278,synaptotagmin-2-like isoform X1 [Glycine max];,IPR000008,GO:0005515
Glyma.08G041900,Gm08,3332953-3333734,protein MKS1-like [Glycine max];,IPR008889,NA
Glyma.08G042000,Gm08,3339390-3341324,transcription factor BEE 3-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.08G042100,Gm08,3348556-3350387,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.08G042200,Gm08,3351276-3354936,XAP5 family protein;,IPR007005,GO:0005634
Glyma.08G042300,Gm08,3357116-3358977,40S ribosomal protein S15-4,IPR002222;IPR023575,GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935
Glyma.08G042400,Gm08,3359827-3367186,Histidyl-tRNA synthetase 1;  ,IPR001106;IPR004516;IPR008948,GO:0003824;GO:0004812;GO:0004821;GO:0005524;GO:0005737;GO:0006418;GO:0006427;GO:0009058;GO:0016841
Glyma.08G042500,Gm08,3367893-3373706,Ubiquitin-conjugating enzyme family protein;,IPR016135,GO:0016881
Glyma.08G042600,Gm08,3383967-3388174,cysteine-rich receptor-like protein kinase 10-like [Glycine max];,IPR002902,NA
Glyma.08G042700,Gm08,3391109-3392927,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: intracellular protein transport; LOCATED IN: endomembrane system, integral to membrane, endoplasmic reticulum; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages ; ",IPR008417,GO:0005783;GO:0006886;GO:0016021
Glyma.08G042900,Gm08,3394453-3399892,UBX domain-containing protein 6-like isoform X2 [Glycine max]; ,IPR001012;IPR006567;IPR018997,GO:0005515
Glyma.08G043000,Gm08,3411711-3415603,protein TIFY 6B-like isoform X1 [Glycine max],IPR010399;IPR018467,NA
Glyma.08G043100,Gm08,3420165-3425248,"glucan endo-1,3-beta-glucosidase 3-like [Glycine max]; ",IPR000490;IPR012946;IPR017853,GO:0005975
Glyma.08G043200,Gm08,3424718-3426033,F-box SKIP28-like protein;,IPR017900,NA
Glyma.08G043250,Gm08,3426034-3426649,F-box protein SKIP14-like [Glycine max];,IPR001810,GO:0005515
Glyma.08G043300,Gm08,3427527-3429772,Dynein light chain type 1 family protein,IPR001372,GO:0005875;GO:0007017
Glyma.08G043400,Gm08,3431619-3433388,argininosuccinate synthase,IPR001518;IPR024074,GO:0004055;GO:0005524;GO:0006526
Glyma.08G043500,Gm08,3438006-3438975,PLANT CADMIUM RESISTANCE 2;,IPR006461,NA
Glyma.08G043600,Gm08,3440387-3446765,endoglucanase 8-like [Glycine max]; ,IPR001701;IPR008928,GO:0003824;GO:0005975
Glyma.08G043700,Gm08,3449868-3455384,CRS1 / YhbY (CRM) domain-containing protein;,IPR001890,GO:0003723
Glyma.08G043800,Gm08,3461675-3463433,Plant invertase/pectin methylesterase inhibitor superfamily protein,IPR006501,GO:0004857;GO:0030599
Glyma.08G043900,Gm08,3469679-3477539,aspartate-tRNA ligase; -like),IPR018150,GO:0000166;GO:0003676;GO:0004812;GO:0005524;GO:0005737;GO:0006418;GO:0016874
Glyma.08G044000,Gm08,3485467-3488899,probable pectinesterase/pectinesterase inhibitor 6-like [Glycine max],IPR006501;IPR011050,GO:0004857;GO:0005618;GO:0030599;GO:0042545
Glyma.08G044100,Gm08,3498105-3505008,Phosphoglucomutase/phosphomannomutase family protein,IPR005841,GO:0000287;GO:0005975
Glyma.08G044200,Gm08,3511652-3515957,receptor-like protein kinase 4,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G044300,Gm08,3516651-3521319,receptor-like protein kinase 4,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G044400,Gm08,3522540-3526843,Calmodulin binding protein-like;,IPR012416,NA
Glyma.08G044500,Gm08,3528831-3533335,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",IPR003406,GO:0008375;GO:0016020
Glyma.08G044600,Gm08,3535237-3541616,AP-3 complex subunit delta-like isoform X5 [Glycine max],IPR016024;IPR017105,GO:0005488;GO:0005794;GO:0006886;GO:0008565;GO:0015031;GO:0016192;GO:0030117
Glyma.08G044700,Gm08,3550296-3562458,RING finger and CHY zinc finger domain-containing protein 1-like isoform X2 [Glycine max],IPR004039;IPR008913;IPR012312;IPR013083;IPR017921,GO:0005515;GO:0008270
Glyma.08G044800,Gm08,3565391-3566916,uncharacterized protein LOC100783585 [Glycine max],NA,NA
Glyma.08G044900,Gm08,3570863-3577044,AMSH-like ubiquitin thioesterase 1-like [Glycine max],IPR000555;IPR015063,GO:0005515
Glyma.08G045000,Gm08,3577866-3581798,"putative calcium-transporting ATPase 13, plasma membrane-type-like [Glycine max];  ",IPR001757;IPR023214;IPR023298,GO:0000166;GO:0005388;GO:0005524;GO:0006812;GO:0016020;GO:0016021;GO:0019829;GO:0046872;GO:0070588
Glyma.08G045100,Gm08,3585875-3588404,Ribosomal protein S7e family protein,IPR000554,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.08G045200,Gm08,3593103-3594900,nudix hydrolase homolog 17;,IPR015797,GO:0016787
Glyma.08G045300,Gm08,3600901-3601718,uncharacterized protein LOC100820614 [Glycine max],NA,NA
Glyma.08G045400,Gm08,3602018-3604892,histone-lysine N-methyltransferase setd3-like protein,IPR001214;IPR015353,GO:0005515
Glyma.08G045450,Gm08,3606121-3606459,EF hand calcium-binding family protein;,IPR011992,GO:0005509
Glyma.08G045500,Gm08,3606830-3612032,ubiquitin fusion degradation 1;,IPR004854,GO:0006511
Glyma.08G045700,Gm08,3615122-3619102,Ankyrin repeat family protein; ,IPR020683;IPR026961;IPR027001,GO:0005515
Glyma.08G045800,Gm08,3619272-3628240,protein VAC14 homolog [Glycine max]; ,IPR016024;IPR021841;IPR026825,GO:0005488
Glyma.08G045900,Gm08,3631033-3641029,nuclear pore complex protein Nup155-like [Glycine max],IPR004870;IPR015943,GO:0005515;GO:0005643;GO:0006913;GO:0017056
Glyma.08G046000,Gm08,3642070-3645992,RING-H2 finger protein [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.08G046100,Gm08,3648283-3649570,Ribosomal protein S5 family protein; ,IPR000851,GO:0003735;GO:0005840;GO:0006412
Glyma.08G046200,Gm08,3651394-3656532,microtubule-associated proteins 70-1,IPR009768,GO:0007010;GO:0008017
Glyma.08G046300,Gm08,3657600-3659422,Mitochondrial transcription termination factor family protein;,IPR003690,NA
Glyma.08G046400,Gm08,3659763-3669246,DYNAMIN-like 1C,IPR000375;IPR001401;IPR020850;IPR022812;IPR027417,GO:0003924;GO:0005525
Glyma.08G046500,Gm08,3669718-3673573,acyl-CoA-binding domain-containing protein 4-like isoform X5 [Glycine max],IPR000014;IPR001610;IPR001810;IPR011043;IPR015915,GO:0004871;GO:0005515;GO:0007165
Glyma.08G046600,Gm08,3674536-3677406,prefoldin subunit 6-like isoform X8 [Glycine max]; ,IPR009053,GO:0006457;GO:0016272;GO:0051082
Glyma.08G046700,Gm08,3679220-3681245,two-component response regulator ARR10-like [Glycine max],IPR009057;IPR011006,GO:0000156;GO:0000160;GO:0003677;GO:0003682
Glyma.08G046800,Gm08,3682727-3684969,two-component response regulator ARR2-like [Glycine max],IPR009057;IPR011006,GO:0000156;GO:0000160;GO:0003677;GO:0003682
Glyma.08G047000,Gm08,3689678-3691859,"Nucleotide excision repair, TFIIH, subunit TTDA",IPR009400,GO:0000439;GO:0006289
Glyma.08G047100,Gm08,3692328-3698403,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B; amidotransferase, subunit B /E);",IPR017959,GO:0016874
Glyma.08G047200,Gm08,3700665-3704004,glutathione peroxidase 2,IPR000889;IPR012336,GO:0004602;GO:0006979;GO:0055114
Glyma.08G047300,Gm08,3705993-3713658,MACPF domain protein; domain),IPR020864,NA
Glyma.08G047400,Gm08,3718695-3721752,heat shock transcription factor A8,IPR011991;IPR027725,GO:0003700;GO:0005634;GO:0009408;GO:0043565
Glyma.08G047500,Gm08,3726341-3728712,vacuolar iron transporter 1;,IPR008217,NA
Glyma.08G047650,Gm08,3732877-3733273,Unknown protein,NA,NA
Glyma.08G047800,Gm08,3734132-3737565,"aspartate-semialdehyde dehydrogenase -binding domain);  ,",IPR012080;IPR016040,GO:0003942;GO:0004073;GO:0005737;GO:0008652;GO:0009086;GO:0009088;GO:0009089;GO:0009097;GO:0046983;GO:0050661;GO:0051287;GO:0055114
Glyma.08G047900,Gm08,3742165-3747247,vacuolar fusion protein CCZ1 homolog B-like isoform X2 [Glycine max];,IPR013176,NA
Glyma.08G048000,Gm08,3753205-3755408,PLATZ transcription factor family protein; ,IPR000315;IPR006734,GO:0005622;GO:0008270
Glyma.08G048100,Gm08,3759341-3765512,mitochondrial import receptor subunit TOM40-1-like [Glycine max]; ,IPR023614;IPR027246,GO:0005741;GO:0055085
Glyma.08G048200,Gm08,3769088-3770636,40S ribosomal protein S16-like [Glycine max],IPR000754;IPR020568,GO:0003735;GO:0005840;GO:0006412
Glyma.08G048400,Gm08,3777665-3796865,THO complex subunit 2,IPR021418;IPR021726,NA
Glyma.08G048567,Gm08,3797521-3799014,phosphoethanolamine N-methyltransferase,IPR013216,GO:0008152;GO:0008168
Glyma.08G048633,Gm08,3799803-3800956,phosphoethanolamine N-methyltransferase,NA,NA
Glyma.08G048700,Gm08,3806049-3809662,Protein kinase superfamily protein,IPR011009;IPR013210;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G048800,Gm08,3811055-3818413,26S proteasome non-ATPase regulatory subunit 1 homolog A-like [Glycine max],IPR016024;IPR016642,GO:0000502;GO:0005488;GO:0030234;GO:0042176
Glyma.08G048900,Gm08,3819221-3819772,dehydrin Xero 1-like [Glycine max],IPR000167,GO:0006950;GO:0009415
Glyma.08G049000,Gm08,3820294-3827909,Signal transduction histidine kinase;  ,IPR005467;IPR006189;IPR009082;IPR011006,GO:0000155;GO:0000156;GO:0000160;GO:0004871;GO:0005524;GO:0007165;GO:0016020;GO:0016310
Glyma.08G049200,Gm08,3847236-3850075,uncharacterized protein LOC100789428 [Glycine max],NA,NA
Glyma.08G049300,Gm08,3855493-3859234,zinc finger (C2H2 type) family protein; ,IPR003656;IPR015880,GO:0003677;GO:0046872
Glyma.08G049400,Gm08,3866129-3870822,RING finger protein 38-like isoform X2 [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.08G049500,Gm08,3880986-3884899,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase 1 n=207 Tax=Bacillus RepID=MURG1_BACAN,IPR006009,GO:0005975;GO:0019277;GO:0030259;GO:0050511
Glyma.08G049600,Gm08,3892032-3893174,Unknown protein,NA,NA
Glyma.08G049700,Gm08,3911953-3914745,uncharacterized protein LOC100807201 [Glycine max];,IPR006747,NA
Glyma.08G049800,Gm08,3917117-3921251,uncharacterized protein LOC100820443 [Glycine max];,IPR006747,NA
Glyma.08G050000,Gm08,3923418-3926362,uncharacterized protein LOC100775536 isoform X1 [Glycine max];,IPR006747,NA
Glyma.08G050033,Gm08,3928960-3932213,"poly(A) polymerase 1; polymerase, RNA-binding domain)",IPR007010,GO:0003723;GO:0004652;GO:0005634;GO:0043631
Glyma.08G050100,Gm08,3936386-3938743,"T-complex protein 1 subunit delta, putative",IPR002423;IPR027409;IPR027410;IPR027413,GO:0005524;GO:0006457;GO:0044267;GO:0051082
Glyma.08G050200,Gm08,3939362-3948854,"ATP-dependent RNA helicase, putative; ",IPR001650;IPR007502;IPR011709;IPR014001;IPR014720;IPR027417,GO:0003676;GO:0004386;GO:0005524;GO:0008026
Glyma.08G050300,Gm08,3949844-3952681,Glycosyltransferase family 61 protein;,IPR007657,NA
Glyma.08G050400,Gm08,3957199-3959086,1-aminocyclopropane-1-carboxylate oxidase,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.08G050500,Gm08,3964435-3967611,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.08G050700,Gm08,3969505-3971939,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.08G050900,Gm08,3972474-3976851,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G051000,Gm08,3980042-3983319,uncharacterized protein LOC100793119 [Glycine max];,IPR019448,NA
Glyma.08G051100,Gm08,3983674-3986952,uncharacterized protein LOC100785302 isoform X1 [Glycine max],NA,NA
Glyma.08G051200,Gm08,3988277-3999544,GTP binding Elongation factor Tu family protein,IPR000795;IPR009000;IPR009001;IPR027417,GO:0003924;GO:0005525
Glyma.08G051300,Gm08,3999911-4006817,Glycosyltransferase family 29 (sialyltransferase) family protein,IPR001675,GO:0006486;GO:0008373
Glyma.08G051400,Gm08,4009592-4011960,pre-mRNA-splicing factor SPF27 homolog [Glycine max];,IPR008409,GO:0006397
Glyma.08G051500,Gm08,4014096-4018909,peroxin 3,IPR006966,GO:0005779;GO:0007031
Glyma.08G051600,Gm08,4020017-4023047,guanine nucleotide-binding protein subunit beta-like protein [Glycine max],IPR015943;IPR020472,GO:0005515
Glyma.08G051701,Gm08,4028812-4032447,alpha dioxygenase,IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.08G051800,Gm08,4032794-4034331,trihelix transcription factor GTL1-like [Glycine max],IPR006578;IPR017877,NA
Glyma.08G051900,Gm08,4035758-4040753,WD repeat-containing protein 5-like [Glycine max];,IPR015943,GO:0005515
Glyma.08G052100,Gm08,4058177-4060976,uncharacterized GPI-anchored protein [Glycine max],NA,NA
Glyma.08G052400,Gm08,4064930-4066058,uncharacterized protein At5g39865-like [Glycine max]; ,IPR012336,GO:0009055;GO:0015035;GO:0045454
Glyma.08G052450,Gm08,4070099-4071524,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.08G052500,Gm08,4072247-4077111,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004707;GO:0005524;GO:0006468
Glyma.08G052600,Gm08,4083388-4086625,HMG I/Y like protein [Glycine max],IPR005819;IPR020478,GO:0000786;GO:0003677;GO:0005634;GO:0006334
Glyma.08G052700,Gm08,4096095-4104862,Protein kinase superfamily protein,IPR011009;IPR028324,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G052800,Gm08,4105384-4106782,FKBP-like peptidyl-prolyl cis-trans isomerase family protein,IPR001179;IPR023566,GO:0006457
Glyma.08G052900,Gm08,4108727-4113742,"eukaryotic translation initiation factor 3 subunit C2; domain),",IPR000717;IPR008905;IPR027516,GO:0003723;GO:0003743;GO:0005515;GO:0005852;GO:0006413;GO:0031369
Glyma.08G053000,Gm08,4114208-4120356,uncharacterized protein LOC100780288 isoform X1 [Glycine max]; ,IPR010721,GO:0005737;GO:0006629;GO:0016021
Glyma.08G053100,Gm08,4120825-4125275,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.08G053300,Gm08,4127081-4134086,golgin candidate 2,NA,NA
Glyma.08G053400,Gm08,4135530-4140691,"GTP-binding nuclear protein Ran-3 [Glycine max];  ,",IPR001806;IPR002041;IPR005225;IPR027417,GO:0003924;GO:0005525;GO:0005622;GO:0006184;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020
Glyma.08G053500,Gm08,4143811-4145758,probable calcium-binding protein CML26-like [Glycine max];,IPR011992,GO:0005509
Glyma.08G053600,Gm08,4155060-4156897,Pathogenesis-related thaumatin superfamily protein;,IPR001938,NA
Glyma.08G053702,Gm08,4169509-4172482,WUSCHEL related homeobox 1; ,IPR009057,GO:0003677;GO:0003700;GO:0043565
Glyma.08G053851,Gm08,4177620-4180169,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.08G054000,Gm08,4181055-4183465,tubulin beta-7 chain; ,IPR000217;IPR023123,GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0006184;GO:0007017;GO:0043234;GO:0051258
Glyma.08G054100,Gm08,4184177-4187319,ADP/ATP carrier 3,IPR002067;IPR023395,GO:0005215;GO:0005743;GO:0006810;GO:0055085
Glyma.08G054300,Gm08,4197961-4204466,amidase 1-like isoform X1 [Glycine max]; ,IPR000120;IPR011990;IPR023631,GO:0005515
Glyma.08G054400,Gm08,4208274-4210365,"nuclear localized protein, putative;",IPR028045,NA
Glyma.08G054500,Gm08,4213725-4215110,Calcium-dependent lipid-binding (CaLB domain) family protein;,IPR000008,GO:0005515
Glyma.08G054700,Gm08,4221733-4226002,Auxin efflux carrier family protein,IPR004776,GO:0016021;GO:0055085
Glyma.08G054800,Gm08,4237338-4241543,DNA binding protein n=2 Tax=Arabidopsis lyrata RepID=D7L8N0_ARALL,IPR012340;IPR028389,GO:0000723;GO:0003677;GO:0043047
Glyma.08G054900,Gm08,4241987-4245659,HCP-like superfamily protein;,IPR011990,GO:0005515
Glyma.08G055000,Gm08,4245754-4248282,ATP-binding ABC transporter,IPR027417,GO:0000166;GO:0005524;GO:0016887;GO:0017111
Glyma.08G055100,Gm08,4249404-4250389,uncharacterized protein At3g17950-like [Glycine max],NA,NA
Glyma.08G055200,Gm08,4253268-4254059,uncharacterized protein LOC100820022 [Glycine max];,IPR025322,NA
Glyma.08G055300,Gm08,4256472-4260292,uncharacterized protein LOC100306671 isoform X1 [Glycine max];,IPR021562,NA
Glyma.08G055400,Gm08,4261496-4272449,uncharacterized protein LOC100800812 isoform X1 [Glycine max],IPR001611;IPR025875,GO:0005515
Glyma.08G055500,Gm08,4275956-4278766,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G055600,Gm08,4279844-4286845,thioredoxin h1 [Glycine max]; ,IPR011990;IPR012336,GO:0005515;GO:0045454
Glyma.08G055700,Gm08,4290877-4294112,receptor-like kinase 1,IPR001611;IPR011009;IPR013210;IPR013320,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.08G055800,Gm08,4304687-4306032,nudix hydrolase homolog 4;,IPR015797,GO:0016787
Glyma.08G055900,Gm08,4309225-4314213,sequence-specific DNA binding transcription factors; zinc ion binding; sequence-specific DNA binding transcription factors,IPR000967;IPR001841;IPR012677;IPR019787,GO:0000166;GO:0003700;GO:0005515;GO:0005634;GO:0008270
Glyma.08G056100,Gm08,4317151-4321415,potassium transporter 2; ,IPR003855,GO:0015079;GO:0016020;GO:0071805
Glyma.08G056150,Gm08,4323046-4323428,MAP kinase kinase,NA,NA
Glyma.08G056200,Gm08,4326456-4330663,uncharacterized protein LOC100817892 isoform X1 [Glycine max];,IPR008479,NA
Glyma.08G056300,Gm08,4334551-4335539,purple acid phosphatase 8,NA,NA
Glyma.08G056400,Gm08,4335644-4339425,purple acid phosphatase 17; ,IPR004843;IPR024927,GO:0003993;GO:0016787
Glyma.08G056500,Gm08,4340079-4342654,annexin 5,IPR001464,GO:0005509;GO:0005544
Glyma.08G056600,Gm08,4342929-4345746,caffeoylshikimate esterase isoform X1 [Glycine max];,IPR022742,NA
Glyma.08G056700,Gm08,4351699-4352241,ZF-HD homeobox protein At4g24660-like [Glycine max],IPR006456;IPR009057,GO:0003677
Glyma.08G056800,Gm08,4361200-4363916,zinc finger protein MAGPIE-like [Glycine max]; ,IPR013087;IPR019786,GO:0003676;GO:0046872
Glyma.08G057000,Gm08,4375375-4382316,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,NA
Glyma.08G057200,Gm08,4384402-4396425,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G057251,Gm08,4401844-4403575,probable 1-aminocyclopropane-1-carboxylate deaminase isoform X3 [Glycine max],NA,NA
Glyma.08G057300,Gm08,4406067-4411263,uncharacterized protein LOC102668494 [Glycine max];,IPR025486,NA
Glyma.08G057400,Gm08,4419439-4424168,homeobox-leucine zipper protein HDG11-like [Glycine max],IPR002913;IPR009057;IPR023393,GO:0003677;GO:0003700;GO:0005634;GO:0008289;GO:0043565
Glyma.08G057500,Gm08,4425511-4426545,unknown protein; Has 38 Blast hits to 38 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).;,IPR013865,NA
Glyma.08G057600,Gm08,4428340-4435501,"rhodanese-like domain-containing protein 8, chloroplastic-like isoform X2 [Glycine max]",NA,NA
Glyma.08G057700,Gm08,4436590-4444306,probable ADP-ribosylation factor GTPase-activating protein AGD15-like [Glycine max]; ,IPR001164,GO:0008060;GO:0008270;GO:0032312
Glyma.08G057800,Gm08,4447532-4451232,cation/H+ exchanger 23,IPR006153;IPR014729,GO:0006812;GO:0015299;GO:0016021;GO:0055085
Glyma.08G057900,Gm08,4456302-4457198,"transmembrane protein, putative",NA,NA
Glyma.08G058000,Gm08,4461320-4467657,"internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial-like [Glycine max] -binding domain); ",IPR013027;IPR023753,GO:0016491;GO:0050660;GO:0055114
Glyma.08G058100,Gm08,4468211-4472404,S1/P1 nuclease family protein,IPR003154;IPR008947,GO:0003676;GO:0004519;GO:0006308
Glyma.08G058200,Gm08,4473173-4474514,vacuolar protein sorting-associated protein 28 homolog 1;,IPR007143,NA
Glyma.08G058300,Gm08,4476752-4478823,syntaxin of plants 124,IPR010989,GO:0005484;GO:0005515;GO:0006886;GO:0016020;GO:0016192
